ripartizione_geografica;codice_regione;denominazione_regione;tipologia_regione;numero_province;numero_comuni;superficie_kmq
Nord-ovest;01;Piemonte;"statuto ordinario";8;1180;25386,7280
Nord-ovest;02;"Valle d'Aosta/Vallée d'Aoste";"statuto speciale";1;74;3260,8426
Nord-ovest;03;Lombardia;"statuto ordinario";12;1502;23863,0919
Nord-est;04;"Trentino-Alto Adige/Südtirol";"statuto speciale";2;282;13604,7050
Nord-est;05;Veneto;"statuto ordinario";7;560;18355,2293
Nord-est;06;"Friuli-Venezia Giulia";"statuto speciale";4;215;7933,2959
Nord-ovest;07;Liguria;"statuto ordinario";4;234;5417,6165
Nord-est;08;Emilia-Romagna;"statuto ordinario";9;330;22501,8136
Centro;09;Toscana;"statuto ordinario";10;273;22989,7753
Centro;10;Umbria;"statuto ordinario";2;92;8464,2026
Centro;11;Marche;"statuto ordinario";5;225;9346,0194
Centro;12;Lazio;"statuto ordinario";5;378;17239,3387
Sud;13;Abruzzo;"statuto ordinario";4;305;10831,7158
Sud;14;Molise;"statuto ordinario";2;136;4460,5630
Sud;15;Campania;"statuto ordinario";5;550;13675,6929
Sud;16;Puglia;"statuto ordinario";6;257;19542,6469
Sud;17;Basilicata;"statuto ordinario";2;131;10073,1768
Sud;18;Calabria;"statuto ordinario";5;404;15219,2985
Isole;19;Sicilia;"statuto speciale";9;391;25835,2801
Isole;20;Sardegna;"statuto speciale";9;377;24108,5367
